plotID,subplotID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,coordSrc,elevation,vertUncert,nlcdClass,appMods,subpltSize,subpltDim,refPoint,plotName,plotStatus
ABBY_075,39_400,tower,basePlot,45.7622237400296,-122.323585516765,WGS84,10N,552600.207,5067851.927,2.1,GIS,344.66,0.53,shrubScrub,ltr|bbc|hbp|cfc|vst,400,20m x 20m,39,ABBY_075_basePlot,current
ABBY_067,41_400,tower,basePlot,45.7606520415117,-122.331428815003,WGS84,10N,551991.747,5067672.179,2.1,GIS,361.17,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_067_basePlot,current
ABBY_067,39_400,tower,basePlot,45.7606629390696,-122.331691488233,WGS84,10N,551971.31,5067673.219,2.1,GIS,360.37,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,39,ABBY_067_basePlot,current
ABBY_067,23_400,tower,basePlot,45.7604690287975,-122.331431772473,WGS84,10N,551991.687,5067651.844,2.1,GIS,360.94,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_067_basePlot,current
ABBY_067,21_400,tower,basePlot,45.7604724917521,-122.331695986693,WGS84,10N,551971.137,5067652.057,2.1,GIS,359.45,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_067_basePlot,current
ABBY_076,41_400,tower,basePlot,45.7638800462053,-122.329873812359,WGS84,10N,552109.667,5068031.829,2.1,GIS,357.1,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_076_basePlot,current
ABBY_076,23_400,tower,basePlot,45.7637012953887,-122.329882125333,WGS84,10N,552109.187,5068011.964,2.1,GIS,359.91,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_076_basePlot,current
ABBY_076,39_400,tower,basePlot,45.7638850786796,-122.330131851032,WGS84,10N,552089.597,5068032.22,2.1,GIS,357.32,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,39,ABBY_076_basePlot,current
ABBY_076,21_400,tower,basePlot,45.7637066448404,-122.330146640776,WGS84,10N,552088.613,5068012.386,2.1,GIS,360.99,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_076_basePlot,current
ABBY_068,21_400,tower,basePlot,45.7604159623392,-122.328635453441,WGS84,10N,552209.194,5067647.77,2.1,GIS,367.31,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_068_basePlot,current
ABBY_068,23_400,tower,basePlot,45.7604069460426,-122.328373993865,WGS84,10N,552229.535,5067646.939,2.1,GIS,367.12,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_068_basePlot,current
ABBY_068,39_400,tower,basePlot,45.7605990397977,-122.32862361322,WGS84,10N,552209.944,5067668.118,2.1,GIS,367.39,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,39,ABBY_068_basePlot,current
ABBY_068,41_400,tower,basePlot,45.7605864246323,-122.328363931963,WGS84,10N,552230.15,5067666.886,2.1,GIS,367.64,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_068_basePlot,current
ABBY_069,39_400,tower,basePlot,45.7616724822936,-122.327450752988,WGS84,10N,552300.149,5067788.146,2.13,GIS,370.39,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,39,ABBY_069_basePlot,current
ABBY_069,41_400,tower,basePlot,45.7616603282138,-122.327191871617,WGS84,10N,552320.292,5067786.965,2.1,GIS,369.83,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_069_basePlot,current
